well_id,well_name,group_name
44821,Thirsty Goat E Unit 2LS,ESP Wells
44831,Titos 31-42 1WA,ESP Wells
44836,Thirsty Goat W Unit 1WA,ESP Wells
44592,Deatherage 23 2,Pumping Unit Wells
44593,Abraxas 30A 2,Pumping Unit Wells
44595,Richards 41A 1,Pumping Unit Wells
44596,Nance 19 6,Pumping Unit Wells
44597,Slaughter Bauer 832,Pumping Unit Wells
44598,Richards 47A 1,Pumping Unit Wells
44599,Self 3,Pumping Unit Wells
44600,Stephens 1,Pumping Unit Wells
44601,Slaughter 19D 1,Pumping Unit Wells
44602,Abraxas 28B 1,Pumping Unit Wells
44604,Johnson C 1,Pumping Unit Wells
44605,Heald 4,Pumping Unit Wells
44608,Slaughter 87B 3,Pumping Unit Wells
44609,Holcomb 45A 1,Pumping Unit Wells
44610,Rufus 4,Pumping Unit Wells
44612,Abraxas 27B 1,Pumping Unit Wells
44613,Slaughter 29E 3,Pumping Unit Wells
44614,Elma L Slaughter G 4,Pumping Unit Wells
44615,Slaughter 8A 1,Pumping Unit Wells
44616,Abraxas 32A 1,Pumping Unit Wells
44617,Oneil 4 2,Pumping Unit Wells
44618,Nance 19 5,Pumping Unit Wells
44619,Abraxas 28 2,Pumping Unit Wells
44620,Abraxas 32 5,Pumping Unit Wells
44622,Elma L Slaughter D 2,Pumping Unit Wells
44623,Davis 18 1,Pumping Unit Wells
44624,Abraxas 30A 3,Pumping Unit Wells
44625,Stone 70 1,Pumping Unit Wells
44626,Thomas 1542,Pumping Unit Wells
44627,Deatherage 2,Pumping Unit Wells
44628,Cook 21 2,Pumping Unit Wells
44629,Thomas A 1543,Pumping Unit Wells
44630,Slaughter 82B 1,Pumping Unit Wells
44633,Garner 7 3,Pumping Unit Wells
44635,Abraxas 31C 3,Pumping Unit Wells
44636,Abraxas 32 11,Pumping Unit Wells
44638,Holcomb 2,Pumping Unit Wells
44639,Gary Lamb 14A 1,Pumping Unit Wells
44640,Butchee 21 7,Pumping Unit Wells
44642,Snell F E 1,Pumping Unit Wells
44643,Slaughter 19C 1,Pumping Unit Wells
44646,Butchee 21 3,Pumping Unit Wells
44648,Slaughter 544,Pumping Unit Wells
44649,Moses Trust 69 5,Pumping Unit Wells
44652,Rufus 8,Pumping Unit Wells
44653,Cook 22 4,Pumping Unit Wells
44655,Slaughter 29B 2,Pumping Unit Wells
44656,Barron 82 1,Pumping Unit Wells
44657,Butchee 21 8,Pumping Unit Wells
44659,Davis 14 1,Pumping Unit Wells
44660,Cook 21 7,Pumping Unit Wells
44661,Moses Trust 69 4,Pumping Unit Wells
44662,Middleton 3,Pumping Unit Wells
44664,Hale 1444,Pumping Unit Wells
44665,Jumper 1,Pumping Unit Wells
44666,Abraxas 16 2,Pumping Unit Wells
44667,Cook 21 8,Pumping Unit Wells
44673,Davison 41 1,Pumping Unit Wells
44674,Abraxas 16 1,Pumping Unit Wells
44675,Abraxas 28D 1,Pumping Unit Wells
